Name_of_sign,YouTube_link,Same_in_SASL_as_ASL,Can_the_link_be_downloaded,Number_of_Hands_used,,`,`
deaf,www.youtube.com/watch?v=27djXV1qAss,NOT THE SAME,YES,ONE HAND,,,
Brown,www.youtube.com/watch?v=PGLfdfkWeko,NOT THE SAME,YES,ONE HAND,,,
music,www.youtube.com/watch?v=xIPnlPivfJY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
music,www.youtube.com/watch?v=xIPnlPivfJY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
I/me,www.youtube.com/watch?v=5r63X5va26Q,SAME,YES,ONE HAND,,,
I/me,www.youtube.com/watch?v=5r63X5va26Q,SAME,YES,ONE HAND,,,
mother,www.youtube.com/watch?v=bY0-Nd_XvmE,NOT THE SAME,YES,ONE HAND,,,
Pink,www.youtube.com/watch?v=wMt89dDdfY8,NOT THE SAME,YES,ONE HAND,,,
cry,www.youtube.com/watch?v=ffMACIQuihs,SAME,YES,TWO HANDS,,,
cry,www.youtube.com/watch?v=ffMACIQuihs,SAME,YES,TWO HANDS,,,
more-THAN [above-a-certain-amount],www.youtube.com/watch?v=yA8kz6rx47o,SAME,YES,TWO HANDS,,,
DANCE,www.youtube.com/watch?v=Lx77k-uJmSM,SAME,YES,TWO HANDS,,,
Single,www.youtube.com/watch?v=X8rXeLPfPIM,NOT THE SAME,YES,ONE HAND,,,
Flirt,www.youtube.com/watch?v=X8rXeLPfPIM,NOT THE SAME,YES,TWO HANDS,,,
Dating,www.youtube.com/watch?v=X8rXeLPfPIM,SAME,YES,TWO HANDS,,,
Sandwich,www.youtube.com/watch?v=mj1QB3wY84w,Not the same,Yes,TWO HANDS,,,
Cheese,www.youtube.com/watch?v=mj1QB3wY84w,Not the same,Yes,TWO HANDS,,,
Together,www.youtube.com/watch?v=X8rXeLPfPIM,SAME,YES,TWO HANDS,,,
Boyfriend,www.youtube.com/watch?v=X8rXeLPfPIM,NOT THE SAME,YES,TWO HANDS,,,
Girlfriend,www.youtube.com/watch?v=X8rXeLPfPIM,NOT THE SAME,YES,TWO HANDS,,,
Sweetheart,www.youtube.com/watch?v=X8rXeLPfPIM,NOT THE SAME,YES,TWO HANDS,,,
Cheese,www.youtube.com/watch?v=mj1QB3wY84w,Not the same,Yes,TWO HANDS,,,
Corn,www.youtube.com/watch?v=mj1QB3wY84w,Not the same,Yes,One hand,,,
Engaged,www.youtube.com/watch?v=X8rXeLPfPIM,SAME,YES,TWO HANDS,,,
Wedding,www.youtube.com/watch?v=X8rXeLPfPIM,NOT THE SAME,YES,TWO HANDS,,,
Married,www.youtube.com/watch?v=X8rXeLPfPIM,NOT THE SAME,YES,TWO HANDS,,,
cuba (asl),www.youtube.com/watch?v=6mOy-wz6OC0,SAME,YES,ONE HAND,,,
Onions,www.youtube.com/watch?v=mj1QB3wY84w,Not the same,Yes,One hand,,,
white,www.youtube.com/watch?v=MZboKry8fo0,NOT THE SAME,YES,ONE HAND,,,
28,www.youtube.com/watch?v=HHSlt1MppyM,NOT THE SAME,YES,ONE HAND,,,
GRADUATE,www.youtube.com/watch?v=Uch6xFIQ3X0,NOT THE SAME,YES,TWO HANDS,,,
CHRISTMAS,www.youtube.com/watch?v=IkdUvdBRIuc,,NO,,,,
roommate (unit 5),www.youtube.com/watch?v=fMzJt6oa0KI,NOT THE SAME,YES,TWO HANDS,,,
PURPLE,www.youtube.com/watch?v=3ZOBRKpiAms,NOT THE SAME,YES,ONE HAND,,,
please,www.youtube.com/watch?v=_rviR_jhCmg,NOT THE SAME,YES,ONE HAND,,,
therapy-[me-HELP-you]-[version],www.youtube.com/watch?v=eeEeaAezraU,SAME,YES,ONE HAND,,,
color,www.youtube.com/watch?v=RoXvtDaBWOk,NOT THE SAME,YES,ONE HAND,,,
color,www.youtube.com/watch?v=RoXvtDaBWOk,NOT THE SAME,YES,ONE HAND,,,
Paper,www.youtube.com/watch?v=xfVNJxKWqeg,,NO,,,,
School,www.youtube.com/watch?v=xfVNJxKWqeg,,NO,,,,
Clean,www.youtube.com/watch?v=xfVNJxKWqeg,,NO,,,,
Study,www.youtube.com/watch?v=xfVNJxKWqeg,,NO,,,,
Student,www.youtube.com/watch?v=xfVNJxKWqeg,,NO,,,,
Teacher,www.youtube.com/watch?v=xfVNJxKWqeg,,NO,,,,
Teacher,www.youtube.com/watch?v=xfVNJxKWqeg,,NO,,,,
Teacher,www.youtube.com/watch?v=xfVNJxKWqeg,,NO,,,,
To write,www.youtube.com/watch?v=xfVNJxKWqeg,,NO,,,,
To be wrong /\nerror,www.youtube.com/watch?v=xfVNJxKWqeg,,NO,,,,
Correct,www.youtube.com/watch?v=xfVNJxKWqeg,,NO,,,,
Correct,www.youtube.com/watch?v=xfVNJxKWqeg,,NO,,,,
Correct,www.youtube.com/watch?v=xfVNJxKWqeg,,NO,,,,
FLOOR,www.youtube.com/watch?v=D0BiLdfvkxo,SAME,YES,TWO HANDS,,,
Lettuce,www.youtube.com/watch?v=mj1QB3wY84w,Not the same,Yes,One hand,,,
Bedroom,www.youtube.com/watch?v=KIFhui2BqwY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
korea (hungarian sign),www.youtube.com/watch?v=JXYaCvd2SBU,NOT THE SAME,YES,TWO HANDS,,,
Lion,www.youtube.com/watch?v=xmovw262tks,Not the same,Yes,One hand,,,
vegetable,www.youtube.com/watch?v=Rs-o6f3qhLo,SOMEWHAT THE SAME,YES,ONE HAND,,,
vegetable,www.youtube.com/watch?v=Rs-o6f3qhLo,SOMEWHAT THE SAME,YES,ONE HAND,,,
None,www.youtube.com/watch?v=DZEs6UDnPHA,SAME,YES,TWO HANDS,,,
Nothing,www.youtube.com/watch?v=DZEs6UDnPHA,SAME,YES,TWO HANDS,,,
How Much? / How Many?,www.youtube.com/watch?v=DZEs6UDnPHA,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Wait,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Pass,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Fail,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Law,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Lawyer,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Schedule,www.youtube.com/watch?v=DZEs6UDnPHA,SAME,YES,TWO HANDS,,,
Adult (2 options),www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Adult (1),www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Adult (2),www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,ONE HAND,,,
Also / Same as,www.youtube.com/watch?v=DZEs6UDnPHA,SAME,YES,TWO HANDS,,,
Also / Same as,www.youtube.com/watch?v=DZEs6UDnPHA,SAME,YES,TWO HANDS,,,
Meeting,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Often,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Disappoint,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,ONE HAND,,,
Bitter,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,ONE HAND,,,
Mad,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,ONE HAND,,,
Frustrated,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,ONE HAND,,,
Frustrated,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,ONE HAND,,,
Frustrated,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,ONE HAND,,,
Frustrated,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,ONE HAND,,,
Challenge,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Chocolate,www.youtube.com/watch?v=DZEs6UDnPHA,SAME,YES,TWO HANDS,,,
Volunteer,www.youtube.com/watch?v=DZEs6UDnPHA,SAME,YES,ONE HAND,,,
Lost,www.youtube.com/watch?v=DZEs6UDnPHA,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Save,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Hurt,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Pass,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Example,www.youtube.com/watch?v=DZEs6UDnPHA,SAME,YES,TWO HANDS,,,
Study,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Cracker,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
Magazine,www.youtube.com/watch?v=DZEs6UDnPHA,NOT THE SAME,YES,TWO HANDS,,,
FINISH\u2018.,www.youtube.com/watch?v=DZEs6UDnPHA,SAME,YES,TWO HANDS,,,
PAPER,www.youtube.com/watch?v=XrQqlU-dg7E,NOT THE SAME,YES,TWO HANDS,,,
cop,www.youtube.com/watch?v=qRkJvsOl9Gg,NOT THE SAME,YES,ONE HAND,,,
Africa,www.youtube.com/watch?v=w7cVFohqwpQ,NOT THE SAME,YES,ONE HAND,,,
Asia,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
China,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Hong Kong,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
India,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Japan,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Russia,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Taiwan,www.youtube.com/watch?v=w7cVFohqwpQ,SOMEWHAT THE SAME,YES,ONE HAND,,,
Australia,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Iran,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Iraq,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Israel,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Turkey,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
South America,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,TWO HANDS,,,
Europe,www.youtube.com/watch?v=w7cVFohqwpQ,NOT THE SAME,YES,ONE HAND,,,
Austria,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,TWO HANDS,,,
Denmark,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Finland,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
France,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Germany,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Greece,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Ireland,www.youtube.com/watch?v=w7cVFohqwpQ,NOT THE SAME,YES,TWO HANDS,,,
Italy,www.youtube.com/watch?v=w7cVFohqwpQ,NOT THE SAME,YES,ONE HAND,,,
Italy,www.youtube.com/watch?v=w7cVFohqwpQ,NOT THE SAME,YES,ONE HAND,,,
Norway,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Poland,www.youtube.com/watch?v=w7cVFohqwpQ,NOT THE SAME,YES,ONE HAND,,,
Portugal,www.youtube.com/watch?v=w7cVFohqwpQ,NOT THE SAME,YES,TWO HANDS,,,
Spain,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Sweden,www.youtube.com/watch?v=w7cVFohqwpQ,NOT THE SAME,YES,ONE HAND,,,
Canada,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
Cuba,www.youtube.com/watch?v=w7cVFohqwpQ,NOT THE SAME,YES,ONE HAND,,,
Mexico,www.youtube.com/watch?v=w7cVFohqwpQ,SAME,YES,ONE HAND,,,
FAT-[state-of-being-fat],www.youtube.com/watch?v=6MACNEYz0v4,SAME,YES,TWO HANDS,,,
mirror,www.youtube.com/watch?v=D6Mwzca50Xk,SAME,YES,ONE HAND,,,
NUMBER,www.youtube.com/watch?v=FX4DTMKI31E,NOT THE SAME,YES,TWO HANDS,,,
train,www.youtube.com/watch?v=2h3TyouL1Xs,NOT THE SAME,YES,TWO HANDS,,,
doctor,www.youtube.com/watch?v=ZeCINgiBgEI,SAME,YES,TWO HANDS,,,
Whale,www.youtube.com/watch?v=0i6JK4bGbBc,NOT THE SAME,YES,ONE HAND,,,
AREA,www.youtube.com/watch?v=pAKBVHFXkFQ,SAME,YES,ONE HAND,,,
BACK,www.youtube.com/watch?v=pAKBVHFXkFQ,SAME,YES,ONE HAND,,,
BACK,www.youtube.com/watch?v=pAKBVHFXkFQ,SAME,YES,TWO HANDS,,,
BACK,www.youtube.com/watch?v=pAKBVHFXkFQ,SAME,YES,TWO HANDS,,,
BATHROOM,www.youtube.com/watch?v=pAKBVHFXkFQ,NOT THE SAME,YES,ONE HAND,,,
BUILDING,www.youtube.com/watch?v=pAKBVHFXkFQ,SOMEWHAT THE SAME,YES,TWO HANDS,,,
CAFETERIA,www.youtube.com/watch?v=pAKBVHFXkFQ,NOT THE SAME,YES,ONE HAND,,,
flag,www.youtube.com/watch?v=pAKBVHFXkFQ,SAME,YES,TWO HANDS,,,
FRONT,www.youtube.com/watch?v=pAKBVHFXkFQ,SAME,YES,ONE HAND,,,
FRONT,www.youtube.com/watch?v=pAKBVHFXkFQ,SAME,YES,ONE HAND,,,
GYM,www.youtube.com/watch?v=pAKBVHFXkFQ,NOT THE SAME,YES,TWO HANDS,,,
HALLWAY,www.youtube.com/watch?v=pAKBVHFXkFQ,SAME,YES,TWO HANDS,,,
LOCKER,www.youtube.com/watch?v=pAKBVHFXkFQ,NOT THE SAME,YES,ONE HAND,,,
OFFICE,www.youtube.com/watch?v=pAKBVHFXkFQ,NOT THE SAME,YES,TWO HANDS,,,
NURSE,www.youtube.com/watch?v=pAKBVHFXkFQ,NOT THE SAME,YES,TWO HANDS,,,
POOL,www.youtube.com/watch?v=pAKBVHFXkFQ,SAME,YES,ONE HAND,,,
ROOM,www.youtube.com/watch?v=pAKBVHFXkFQ,NOT THE SAME,YES,TWO HANDS,,,
STORE,www.youtube.com/watch?v=pAKBVHFXkFQ,NOT THE SAME,YES,TWO HANDS,,,
BOOKSTORE,www.youtube.com/watch?v=pAKBVHFXkFQ,NOT THE SAME,YES,TWO HANDS,,,
STUDENT CENTER,www.youtube.com/watch?v=pAKBVHFXkFQ,NOT THE SAME,YES,TWO HANDS,,,
STUDENT CENTER,www.youtube.com/watch?v=pAKBVHFXkFQ,NOT THE SAME,YES,TWO HANDS,,,
THEATER,www.youtube.com/watch?v=pAKBVHFXkFQ,NOT THE SAME,YES,TWO HANDS,,,
WATER,www.youtube.com/watch?v=pAKBVHFXkFQ,SAME,YES,ONE HAND,,,
gray,www.youtube.com/watch?v=zXP_qMWHkiM,NOT THE SAME,YES,TWO HANDS,,,
FRUITS,www.youtube.com/watch?v=h893wq_Jcw0,NOT THE SAME,YES,ONE HAND,,,
APPLE,www.youtube.com/watch?v=h893wq_Jcw0,NOT THE SAME,YES,ONE HAND,,,
BANANA,www.youtube.com/watch?v=h893wq_Jcw0,SAME,YES,TWO HANDS,,,
CHERRY,www.youtube.com/watch?v=h893wq_Jcw0,NOT THE SAME,YES,TWO HANDS,,,
GRAPE,www.youtube.com/watch?v=h893wq_Jcw0,SOMEWHAT THE SAME,YES,TWO HANDS,,,
LEMON,www.youtube.com/watch?v=h893wq_Jcw0,NOT THE SAME,YES,ONE HAND,,,
MELON,www.youtube.com/watch?v=h893wq_Jcw0,SOMEWHAT THE SAME,YES,TWO HANDS,,,
PEACH,www.youtube.com/watch?v=h893wq_Jcw0,NOT THE SAME,YES,ONE HAND,,,
PEAR,www.youtube.com/watch?v=h893wq_Jcw0,NOT THE SAME,YES,TWO HANDS,,,
PINEAPPLE,www.youtube.com/watch?v=h893wq_Jcw0,NOT THE SAME,YES,ONE HAND,,,
PINEAPPLE,www.youtube.com/watch?v=h893wq_Jcw0,NOT THE SAME,YES,TWO HANDS,,,
STRAWBERRY,www.youtube.com/watch?v=h893wq_Jcw0,NOT THE SAME,YES,ONE HAND,,,
PUMPKIN,www.youtube.com/watch?v=h893wq_Jcw0,NOT THE SAME,YES,TWO HANDS,,,
HURT,www.youtube.com/watch?v=PrrtfsQb3ks,NOT THE SAME,YES,TWO HANDS,,,
gold,www.youtube.com/watch?v=-VInE5qtMnE,NOT THE SAME,YES,ONE HAND,,,
sit,www.youtube.com/watch?v=Nu20x79AbjU,NOT THE SAME,YES,TWO HANDS,,,
asl,www.youtube.com/watch?v=Og6cT5lvC70,SAME,YES,ONE HAND,,,
asl,www.youtube.com/watch?v=Og6cT5lvC70,SAME,YES,ONE HAND,,,
AND,www.youtube.com/watch?v=DBGXZW_QEno,NOT THE SAME,YES,ONE HAND,,,
PUMPKIN,www.youtube.com/watch?v=Z2nUIVmCTmU,NOT THE SAME,YES,TWO HANDS,,,
indian,www.youtube.com/watch?v=WQ1GTfngy4I,SAME,YES,ONE HAND,,,
BECOME,www.youtube.com/watch?v=VR185Rpexoo,NOT THE SAME,YES,TWO HANDS,,,
school,www.youtube.com/watch?v=PsLiyUyrqds,NOT THE SAME,YES,TWO HANDS,,,
school,www.youtube.com/watch?v=PsLiyUyrqds,NOT THE SAME,YES,TWO HANDS,,,
home,www.youtube.com/watch?v=78kwjtbP_-w,NOT THE SAME,YES,ONE HAND,,,
home,www.youtube.com/watch?v=78kwjtbP_-w,NOT THE SAME,YES,ONE HAND,,,
PET,www.youtube.com/watch?v=uHO_-5Sh51M,SOMEWHAT THE SAME,YES,TWO HANDS,,,
New,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,TWO HANDS,,,
Family,www.youtube.com/watch?v=mfrGIHTnKvI,SAME,YES,TWO HANDS,,,
Mom,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Dad,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Parents,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Wife,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,TWO HANDS,,,
Husband,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,TWO HANDS,,,
Girl,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Boy,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Sister,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,TWO HANDS,,,
Brother,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,TWO HANDS,,,
Grandfather,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Aunt,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Uncle,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Niece,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Nephew,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Cousin,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Daughter,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,TWO HANDS,,,
Son,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,TWO HANDS,,,
Teach,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,TWO HANDS,,,
Learn,www.youtube.com/watch?v=mfrGIHTnKvI,SAME,YES,TWO HANDS,,,
ASL,www.youtube.com/watch?v=mfrGIHTnKvI,SAME,YES,ONE HAND,,,
Teacher,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,TWO HANDS,,,
Student,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,TWO HANDS,,,
Book,www.youtube.com/watch?v=mfrGIHTnKvI,SAME,YES,TWO HANDS,,,
Bathroom,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Thirsty,www.youtube.com/watch?v=mfrGIHTnKvI,SAME,YES,ONE HAND,,,
Drink,www.youtube.com/watch?v=mfrGIHTnKvI,SAME,YES,ONE HAND,,,
Yes,www.youtube.com/watch?v=mfrGIHTnKvI,SAME,YES,ONE HAND,,,
No,www.youtube.com/watch?v=mfrGIHTnKvI,SAME,YES,ONE HAND,,,
ASL,www.youtube.com/watch?v=mfrGIHTnKvI,SAME,YES,ONE HAND,,,
Class,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,TWO HANDS,,,
Color,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Purple,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Blue,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Green,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Yellow,www.youtube.com/watch?v=mfrGIHTnKvI,SAME,YES,ONE HAND,,,
Pink,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Black,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Brown,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
Grey,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,TWO HANDS,,,
White,www.youtube.com/watch?v=mfrGIHTnKvI,NOT THE SAME,YES,ONE HAND,,,
newspaper,www.youtube.com/watch?v=8a0x0EOO9Fg,NOT THE SAME,YES,TWO HANDS,,,
30,www.youtube.com/watch?v=G6I6dUo85N4,NOT THE SAME,YES,ONE HAND,,,
GASOLINE-[put-in-gas],www.youtube.com/watch?v=RzYnyNm-t_4,NOT THE SAME,YES,TWO HANDS,,,
Hair,www.youtube.com/watch?v=uJipBLsM8QA,SAME,YES,ONE HAND,,,
rock,www.youtube.com/watch?v=OPGIznWXYYE,NOT THE SAME,YES,TWO HANDS,,,
rock,www.youtube.com/watch?v=OPGIznWXYYE,NOT THE SAME,YES,TWO HANDS,,,
TEST (version 1),www.youtube.com/watch?v=GtBVLsZBlC8,NOT THE SAME,YES,TWO HANDS,,,
dizzy,www.youtube.com/watch?v=fufPnOVbJV8,NOT THE SAME,YES,ONE HAND,,,
PIZZA (alternative),www.youtube.com/watch?v=h4Zjyr0-mjc,NOT THE SAME,YES,ONE HAND,,,
GARAGE,www.youtube.com/watch?v=g9y1koRe5nk,SAME,YES,TWO HANDS,,,
california,www.youtube.com/watch?v=m-NJbizSgFo,NOT THE SAME,YES,ONE HAND,,,
california,www.youtube.com/watch?v=m-NJbizSgFo,NOT THE SAME,YES,ONE HAND,,,
WHERE,www.youtube.com/watch?v=lr7EJ0ayuhc,NOT THE SAME,YES,ONE HAND,,,
HARD OF HEARING,www.youtube.com/watch?v=5YEixRBtQ8E,NOT THE SAME,YES,ONE HAND,,,
cold,www.youtube.com/watch?v=8BLrrD94hMU,SAME,YES,TWO HANDS,,,
PRINCIPAL,www.youtube.com/watch?v=XqZXVOHFLms,NOT THE SAME,YES,TWO HANDS,,,
Boyfriend,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Boyfriend,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Boyfriend,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Boyfriend,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Girl,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Mother/ Mom,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Children,www.youtube.com/watch?v=TwkGS9TjUX8,SAME,YES,ONE HAND,,,
Don't Want,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
(to be) Pregnant,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Have,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Need,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Interesting,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Interesting,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Interesting,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Interesting,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
None,www.youtube.com/watch?v=TwkGS9TjUX8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Niece,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Girl+friend,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Husband,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Father / Dad,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Daughter,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Brother,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Brother (2),www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Twins,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Twins (2),www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Maybe,www.youtube.com/watch?v=TwkGS9TjUX8,SAME,YES,TWO HANDS,,,
Engaged,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Want,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Grandfather,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Aunt,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Nephew,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Gone (Dead),www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Boy,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Wife,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Wife,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
